function,table,dataset,probe,sizes,phase,cycles,kcycles,instructions,L1-misses,LLC-misses,branch-misses,task-clock,scale,IPC,CPUs,GHz
rmi,linear,fb,uniform,10Mx25M,insert,199.83,40.78,302.95,1.85,1.10,0.76,43.66,10000000,1.52,1.00,4.58
rmi,linear,fb,uniform,10Mx25M,join,1179.37,26.18,221.41,15.64,13.52,1.05,257.05,25000000,0.19,1.00,4.59
rmi,linear,fb,uniform,25Mx25M,sort,2809.19,35.13,437.88,28.60,13.91,0.99,612.27,25000000,0.16,1.00,4.59
rmi,linear,fb,uniform,25Mx25M,insert,245.07,34.18,480.80,1.73,1.07,0.77,53.41,25000000,1.96,1.00,4.59
rmi,linear,fb,uniform,25Mx25M,join,1391.44,1.13,352.08,20.13,21.60,1.02,303.47,25000000,0.25,1.00,4.59
mult,linear,fb,uniform,10Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
mult,linear,fb,uniform,10Mx25M,insert,418.23,34.70,140.56,5.38,3.78,0.77,93.15,10000000,0.34,1.00,4.49
mult,linear,fb,uniform,10Mx25M,join,406.76,23.99,97.81,7.53,5.63,0.87,88.64,25000000,0.24,1.00,4.59
mult,linear,fb,uniform,25Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
mult,linear,fb,uniform,25Mx25M,insert,445.14,32.25,143.75,5.51,3.88,0.78,96.99,25000000,0.32,1.00,4.59
mult,linear,fb,uniform,25Mx25M,join,377.96,0.32,84.09,6.99,6.16,0.87,82.34,25000000,0.22,1.00,4.59
mwhc,linear,fb,uniform,10Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
mwhc,linear,fb,uniform,10Mx25M,insert,2722.52,105.38,759.23,29.85,13.36,2.18,595.23,10000000,0.28,1.00,4.57
mwhc,linear,fb,uniform,10Mx25M,join,771.03,24.28,218.96,9.44,3.95,0.01,168.03,25000000,0.28,1.00,4.59
mwhc,linear,fb,uniform,25Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
mwhc,linear,fb,uniform,25Mx25M,insert,2895.56,96.11,706.76,30.66,14.90,2.17,631.19,25000000,0.24,1.00,4.59
mwhc,linear,fb,uniform,25Mx25M,join,734.19,0.58,193.29,8.96,4.45,0.00,160.08,25000000,0.26,1.00,4.59
rmi,cuckoo,fb,uniform,10Mx25M,sort,2237.45,35.26,416.83,25.72,11.92,0.98,489.93,10000000,0.19,1.00,4.57
rmi,cuckoo,fb,uniform,10Mx25M,insert,787.06,27.24,484.20,6.30,3.99,0.54,171.51,10000000,0.62,1.00,4.59
rmi,cuckoo,fb,uniform,10Mx25M,join,614.47,25.57,122.77,9.48,4.78,1.09,133.90,25000000,0.20,1.00,4.59
rmi,cuckoo,fb,uniform,25Mx25M,sort,2806.48,34.68,438.42,28.60,13.90,0.99,611.79,25000000,0.16,1.00,4.59
rmi,cuckoo,fb,uniform,25Mx25M,insert,961.90,22.65,670.95,6.80,4.25,0.51,209.71,25000000,0.70,1.00,4.59
rmi,cuckoo,fb,uniform,25Mx25M,join,553.78,0.46,112.79,8.93,5.13,1.08,120.70,25000000,0.20,1.00,4.59
mult,cuckoo,fb,uniform,10Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
mult,cuckoo,fb,uniform,10Mx25M,insert,703.89,21.66,207.30,7.54,4.57,0.27,155.38,10000000,0.29,1.00,4.53
mult,cuckoo,fb,uniform,10Mx25M,join,374.56,24.28,87.95,6.18,3.37,1.08,81.62,25000000,0.23,1.00,4.59
mult,cuckoo,fb,uniform,25Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
mult,cuckoo,fb,uniform,25Mx25M,insert,742.32,21.13,214.77,7.70,4.82,0.29,161.73,25000000,0.29,1.00,4.59
mult,cuckoo,fb,uniform,25Mx25M,join,353.64,0.28,74.79,5.52,3.78,1.07,77.10,25000000,0.21,1.00,4.59
mwhc,cuckoo,fb,uniform,10Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
mwhc,cuckoo,fb,uniform,10Mx25M,insert,2850.45,94.81,843.48,33.71,16.44,2.19,623.38,10000000,0.30,1.00,4.57
mwhc,cuckoo,fb,uniform,10Mx25M,join,870.36,23.83,220.98,10.47,5.01,0.76,189.97,25000000,0.25,1.00,4.58
mwhc,cuckoo,fb,uniform,25Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
mwhc,cuckoo,fb,uniform,25Mx25M,insert,3002.95,88.27,796.75,34.74,17.91,2.17,654.60,25000000,0.27,1.00,4.59
mwhc,cuckoo,fb,uniform,25Mx25M,join,820.56,0.64,195.30,9.93,5.47,0.76,178.77,25000000,0.24,1.00,4.59
